Olea europea
Beta vulgaris var. cycla
Malpighia glabra
Cichorium intybus
Allium sativum
Ocimum basilicum
Cynara scolymus
Sechium edule
Ananas comosus
Annona spp.
Apium graveolens var. dulce
Apium graveolens var. rapaceum
Vaccinium sp.
Vaccinium sp.
Pisum sativum
Anona squamosa x A. cherímola
Carica pentagona
Musa paradisiaca
Ipomoea batatas
Solanun melongena
Nasturtium officinale
Amaranthus spp.
Brassica chinensis
Brassica oleracea var.
Chrysophyllum cainito
Citrus microcarpa
Averrhoa carambola
Allium cepa
Allium schoenoprasum
Prunus avium
Prunus domestica
Cocos nucífera
Brassica oleracea var. botrytis
Brassica oleracea var gongylodes
Brassica oleracea var. acephala
Phaseolus vulgarís
Annona cherimola
Achras sapote
Pastinaca sativa
Zea mays
Raphanus sativus
Prunus armeniaca
Phoenix dactylifera
Prunus persica
Durio zibethinus
Cichoríum intybus
Cichorium endivia
Asparagus officinalis
Spinacia oleracea
Feijoa sellowiana
Rubus idaeus
Artocarpus altlis
Fragaria spp.
Punica granatum
Ribes spp.
Anona muricata
Psidium guajava
Prunus cerasus
Vicia faba
Ficus carica
Foeniculum vulgare
Myciaria cauliflor
Artocarpus heterophyllus
Zingiber officinale
Pachyrhizus tuberosum
Diospyros kaki
Cucumis afrícanus
Actinidia chinensis
Fortunella japonica
Lactuca sativa
Citrus aurantifolia
Citrus limon
Litchi chinensis
Euphorbia longana
Xanthosoma spp.
Calocarpum spp.
Citrus reticulata
Mangifera indica
Garcinia mangostana
Malus pumila
Passiflora edulis
Anacardium occidentale
Cucumis melo
Cydonia oblonga
Rubus spp.
Brassica rapa var. rapifera
Citrus sinensis
Prunus persica
Eriobotrya japonica
Opuntia spp.
Dioscorea spp.
Abelmoschus esculentus
Persea americana
Solanun tuberosum
Carica papaya
Cucumis sativus
Solanun muricatum
Pyrus communis
Pyrus pirifola
Petroselinum crispum
Capsicum annum
Acanthocereus pitahaya
Citrus paradisi
Phaseolus lunatus
Phaseolus vulgaris
Allium ampeloprasum
Raphanus sativus
Armoracia rusticana
Cichorium intybus
Nephelium lappaceum
Beta vulgaris
Brassica oleracea var. capitata
Brassica oleracea var. gemmifera
Brassica campestris
Rheum rhabarbarum
Brassica napus var. napobrassica
Tragopogon porrifolius
Scorzonera hispanica
Citrullus lanatus
Poutería campechiana
Casimiroa edulis
Diospyros ebenaster
Tamarindus indica
Colocasia esculenta
Lycopersicon esculentum
Cyphomandrea betacea
Physalis peruviana
Helianthus tuberosus
Opuntia spp.
Vitis vinifera
Manihot esculenta
Daucus carota
Cucurbita spp.
